Stock,Annual_Return,Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown
SHREECEM,0.38229565880586625,0.38966486204162987,0.8271098839069405,1.2961158975952654,-0.03539838605956795,-0.05102932543876845,-0.7997340264764553
SUNPHARMA,0.100616970731277,0.4623146323030367,0.08785568937963777,0.08589213383382882,-0.03193982684790308,-0.06078205601749848,-0.9070559610705595
TATAMOTORS,0.1580218880296348,0.48807329578532077,0.20083436007683142,0.25149385378389233,-0.04307347820837051,-0.06628989471283034,-0.95216642859759
TATASTEEL,0.18977438485305012,0.44192636231665156,0.2936561289821032,0.40924958009219325,-0.04158800577262283,-0.06293255634480623,-0.8495297805642632
TCS,0.15216973587587448,0.3769441452959109,0.24451828480720647,0.25193358264733495,-0.027666113522406482,-0.04990682208063449,-0.8205949992660372
TECHM,0.1615667283386768,0.4442657673696804,0.22861704816919126,0.2607019608398212,-0.03554573274356263,-0.05935474361073186,-0.8943356219709209
TITAN,0.30401606406548837,0.499968019542055,0.4880633451095427,0.597385094139642,-0.04052204039758489,-0.06363279105547603,-0.9668688754083061
ULTRACEMCO,0.2489564581864209,0.33264711113350787,0.5680387770167149,0.8704490654136592,-0.030597405907594372,-0.044970190196601534,-0.7777968501909626
UPL,0.14857286664916744,0.47705522832236746,0.18566585458175713,0.2091199309753236,-0.037924921808620865,-0.06234382371355625,-0.9253084865273231
VEDL,0.27505433847080635,0.5684109892224138,0.37834303443886774,0.4668911425146425,-0.0475803312703625,-0.07425852656006875,-0.9858316836241425
WIPRO,0.054871893209049276,0.48592483092939026,-0.01055329232947916,-0.01136323923225342,-0.03887721517445494,-0.07165207289922804,-0.9830664045184069
ZEEL,0.05446288233767826,0.525843743436114,-0.010529967754564098,-0.013851410076581513,-0.04715503046926868,-0.07697018739795584,-0.9595900629175586
